date,SC_FP_walls_south_Q_kWh,SC_FP_walls_south_m2,SC_FP_walls_north_Q_kWh,SC_FP_walls_north_m2,SC_FP_roofs_top_Q_kWh,SC_FP_roofs_top_m2,SC_FP_walls_east_Q_kWh,SC_FP_walls_east_m2,SC_FP_walls_west_Q_kWh,SC_FP_walls_west_m2,area_SC_m2,radiation_kWh,Q_SC_gen_kWh,mcp_SC_kWperC,Eaux_SC_kWh,Q_SC_l_kWh,T_SC_sup_C,T_SC_re_C
2009-01-01 00:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 01:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 02:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 03:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 04:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 05:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 06:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 07:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 08:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 09:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,38.32,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 10:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,69.92,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 11:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,95.06,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 12:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,97.42,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 13:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,81.72,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 14:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,59.18,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 15:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,22.62,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 16:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 17:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 18:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 19:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 20:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 21:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 22:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-01 23:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 00:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 01:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 02:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 03:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 04:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 05:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 06:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 07:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 08:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 09:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,44.73,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 10:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,71.61,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 11:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,88.02,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 12:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,85.45,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 13:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,86.58,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 14:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,68.64,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 15:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,26.64,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 16:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 17:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 18:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 19:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 20:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 21:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 22:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-02 23:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-03 00:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-03 01:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-03 02:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-03 03:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-03 04:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-03 05:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-03 06:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-03 07:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
2009-01-03 08:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,532.35,0.00,0.00,0.00,0.00,0.00,60.00,nan
