date,SC_ET_walls_south_Q_kWh,SC_ET_walls_south_m2,SC_ET_walls_north_Q_kWh,SC_ET_walls_north_m2,SC_ET_roofs_top_Q_kWh,SC_ET_roofs_top_m2,SC_ET_walls_east_Q_kWh,SC_ET_walls_east_m2,SC_ET_walls_west_Q_kWh,SC_ET_walls_west_m2,area_SC_m2,radiation_kWh,Q_SC_gen_kWh,mcp_SC_kWperC,Eaux_SC_kWh,Q_SC_l_kWh,T_SC_sup_C,T_SC_re_C
2009-01-01 00:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 01:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 02:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 03:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 04:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 05:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 06:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 07:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 08:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 09:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,90.52,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 10:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,178.29,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 11:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,237.19,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 12:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,243.56,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 13:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,191.11,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 14:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,135.06,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 15:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,8.89,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 16:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 17:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 18:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 19:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 20:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 21:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 22:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-01 23:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 00:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 01:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 02:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 03:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 04:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 05:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 06:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
