SURFACE,BUILDING,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf0,B1004,top,0,1,463192.43,15224859.59,16.00,-0.00,0.00,1,0.08,roofs,4,0,463192.86000000004 15224859.503709102 463192.86000000004 15224859.632000001 463191.5846848628 15224859.632000001,1108354.62,0.00,15.33,1.82,-0.00,0.04,5,6,10,roofs_top,srf0
srf1,B1004,top,0,1,463191.91,15224860.62,16.00,-0.00,0.00,1,3.79,roofs,4,0,463190.86000000004 15224859.7049 463191.5846848628 15224859.632000001 463192.86000000004 15224859.632000001 463192.86000000004 15224861.632000001 463191.0555268328 15224861.632000001,1108354.62,0.00,15.33,1.82,-0.00,2.02,5,6,10,roofs_top,srf1
srf2,B1004,top,0,1,463192.01,15224862.61,16.00,-0.00,0.00,1,3.41,roofs,4,0,463191.0555268328 15224861.632000001 463192.86000000004 15224861.632000001 463192.86000000004 15224863.632000001 463191.2584502231 15224863.632000001,1108354.62,0.00,15.33,1.82,-0.00,1.82,5,6,10,roofs_top,srf2
srf3,B1004,top,0,1,463192.11,15224864.61,16.00,-0.00,0.00,1,3.00,roofs,4,0,463191.2584502231 15224863.632000001 463192.86000000004 15224863.632000001 463192.86000000004 15224865.632000001 463191.46137361333 15224865.632000001,1108354.62,0.00,15.33,1.82,-0.00,1.60,5,6,10,roofs_top,srf3
srf4,B1004,top,0,1,463192.21,15224866.61,16.00,-0.00,0.00,1,2.59,roofs,4,0,463191.46137361333 15224865.632000001 463192.86000000004 15224865.632000001 463192.86000000004 15224867.632000001 463191.6642970036 15224867.632000001,1108354.62,0.00,15.33,1.82,-0.00,1.38,5,6,10,roofs_top,srf4
srf5,B1004,top,0,1,463192.31,15224868.60,16.00,-0.00,0.00,1,2.19,roofs,4,0,463191.6642970036 15224867.632000001 463192.86000000004 15224867.632000001 463192.86000000004 15224869.632000001 463191.86722039385 15224869.632000001,1108835.50,0.00,15.33,1.82,-0.00,1.17,5,6,10,roofs_top,srf5
srf6,B1004,top,0,1,463192.41,15224870.59,16.00,-0.00,0.00,1,1.78,roofs,4,0,463191.86722039385 15224869.632000001 463192.86000000004 15224869.632000001 463192.86000000004 15224871.632000001 463192.0701437841 15224871.632000001,1108835.50,0.00,15.33,1.82,-0.00,0.95,5,6,10,roofs_top,srf6
srf7,B1004,top,0,1,463192.51,15224872.58,16.00,-0.00,0.00,1,1.38,roofs,4,0,463192.0701437841 15224871.632000001 463192.86000000004 15224871.632000001 463192.86000000004 15224873.632000001 463192.27306717436 15224873.632000001,1108835.50,0.00,15.33,1.82,-0.00,0.73,5,6,10,roofs_top,srf7
srf8,B1004,top,0,1,463192.61,15224874.56,16.00,-0.00,0.00,1,0.97,roofs,4,0,463192.27306717436 15224873.632000001 463192.86000000004 15224873.632000001 463192.86000000004 15224875.632000001 463192.4759905646 15224875.632000001,1108983.38,0.00,15.33,1.82,-0.00,0.52,5,6,10,roofs_top,srf8
srf9,B1004,top,0,1,463192.71,15224876.51,16.00,-0.00,0.00,1,0.57,roofs,4,0,463192.4759905646 15224875.632000001 463192.86000000004 15224875.632000001 463192.86000000004 15224877.632000001 463192.6789139549 15224877.632000001,1108983.38,0.00,15.33,1.82,-0.00,0.30,5,6,10,roofs_top,srf9
srf10,B1004,top,0,1,463192.80,15224878.23,16.00,-0.00,0.00,1,0.16,roofs,4,0,463192.6789139549 15224877.632000001 463192.86000000004 15224877.632000001 463192.86000000004 15224879.41677252,1108983.00,0.00,15.33,1.82,-0.00,0.09,5,6,10,roofs_top,srf10
srf11,B1004,top,0,1,463194.01,15224859.51,16.00,-0.00,0.00,1,0.46,roofs,4,0,463194.86000000004 15224859.302518204 463194.86000000004 15224859.632000001 463192.86000000004 15224859.632000001 463192.86000000004 15224859.503709102,1108354.62,0.00,15.33,1.82,-0.00,0.24,5,6,10,roofs_top,srf11
srf12,B1004,top,0,1,463193.86,15224860.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463192.86000000004 15224859.632000001 463194.86000000004 15224859.632000001 463194.86000000004 15224861.632000001 463192.86000000004 15224861.632000001,1108354.62,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf12
srf13,B1004,top,0,1,463193.86,15224862.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463192.86000000004 15224861.632000001 463194.86000000004 15224861.632000001 463194.86000000004 15224863.632000001 463192.86000000004 15224863.632000001,1108354.62,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf13
srf14,B1004,top,0,1,463193.86,15224864.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463192.86000000004 15224863.632000001 463194.86000000004 15224863.632000001 463194.86000000004 15224865.632000001 463192.86000000004 15224865.632000001,1108354.62,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf14
srf15,B1004,top,0,1,463193.86,15224866.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463192.86000000004 15224865.632000001 463194.86000000004 15224865.632000001 463194.86000000004 15224867.632000001 463192.86000000004 15224867.632000001,1108354.62,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf15
srf16,B1004,top,0,1,463193.86,15224868.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463192.86000000004 15224867.632000001 463194.86000000004 15224867.632000001 463194.86000000004 15224869.632000001 463192.86000000004 15224869.632000001,1108835.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf16
srf17,B1004,top,0,1,463193.86,15224870.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463192.86000000004 15224869.632000001 463194.86000000004 15224869.632000001 463194.86000000004 15224871.632000001 463192.86000000004 15224871.632000001,1108835.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf17
srf18,B1004,top,0,1,463193.86,15224872.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463192.86000000004 15224871.632000001 463194.86000000004 15224871.632000001 463194.86000000004 15224873.632000001 463192.86000000004 15224873.632000001,1108835.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf18
srf19,B1004,top,0,1,463193.86,15224874.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463192.86000000004 15224873.632000001 463194.86000000004 15224873.632000001 463194.86000000004 15224875.632000001 463192.86000000004 15224875.632000001,1108983.38,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf19
srf20,B1004,top,0,1,463193.86,15224876.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463192.86000000004 15224875.632000001 463194.86000000004 15224875.632000001 463194.86000000004 15224877.632000001 463192.86000000004 15224877.632000001,1108983.38,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf20
srf21,B1004,top,0,1,463193.86,15224878.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463192.86000000004 15224877.632000001 463194.86000000004 15224877.632000001 463194.86000000004 15224879.632000001 463192.88183734514 15224879.632000001 463192.86000000004 15224879.41677252,1108983.00,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf21
srf22,B1004,top,0,1,463193.92,15224880.61,16.00,-0.00,0.00,1,3.75,roofs,4,0,463192.88183734514 15224879.632000001 463194.86000000004 15224879.632000001 463194.86000000004 15224881.632000001 463193.0847607354 15224881.632000001,1108983.00,0.00,15.33,1.82,-0.00,2.00,5,6,10,roofs_top,srf22
srf23,B1004,top,0,1,463194.02,15224882.61,16.00,-0.00,0.00,1,3.35,roofs,4,0,463193.0847607354 15224881.632000001 463194.86000000004 15224881.632000001 463194.86000000004 15224883.632000001 463193.28768412565 15224883.632000001,1109809.38,0.00,15.33,1.82,-0.00,1.78,5,6,10,roofs_top,srf23
srf24,B1004,top,0,1,463194.12,15224884.61,16.00,-0.00,0.00,1,2.94,roofs,4,0,463193.28768412565 15224883.632000001 463194.86000000004 15224883.632000001 463194.86000000004 15224885.632000001 463193.4906075159 15224885.632000001,1109809.38,0.00,15.33,1.82,-0.00,1.57,5,6,10,roofs_top,srf24
srf25,B1004,top,0,1,463194.22,15224886.61,16.00,-0.00,0.00,1,2.54,roofs,4,0,463193.4906075159 15224885.632000001 463194.86000000004 15224885.632000001 463194.86000000004 15224887.632000001 463193.69353090617 15224887.632000001,1109809.38,0.00,15.33,1.82,-0.00,1.35,5,6,10,roofs_top,srf25
srf26,B1004,top,0,1,463194.33,15224888.60,16.00,-0.00,0.00,1,2.13,roofs,4,0,463193.69353090617 15224887.632000001 463194.86000000004 15224887.632000001 463194.86000000004 15224889.632000001 463193.8964542964 15224889.632000001,1109809.38,0.00,15.33,1.82,-0.00,1.14,5,6,10,roofs_top,srf26
srf27,B1004,top,0,1,463194.43,15224890.59,16.00,-0.00,0.00,1,1.72,roofs,4,0,463193.8964542964 15224889.632000001 463194.86000000004 15224889.632000001 463194.86000000004 15224891.632000001 463194.0993776867 15224891.632000001,1110930.00,0.00,15.33,1.82,-0.00,0.92,5,6,10,roofs_top,srf27
srf28,B1004,top,0,1,463194.53,15224892.58,16.00,-0.00,0.00,1,1.32,roofs,4,0,463194.0993776867 15224891.632000001 463194.86000000004 15224891.632000001 463194.86000000004 15224893.632000001 463194.30230107694 15224893.632000001,1111073.25,0.00,15.33,1.82,-0.00,0.70,5,6,10,roofs_top,srf28
srf29,B1004,top,0,1,463194.61,15224894.14,16.00,-0.00,0.00,1,0.53,roofs,4,0,463194.86000000004 15224893.632000001 463194.86000000004 15224894.667122962 463194.4119 15224894.7122 463194.30230107694 15224893.632000001,1111073.25,0.00,15.33,1.82,-0.00,0.28,5,6,10,roofs_top,srf29
srf30,B1004,top,0,1,463195.94,15224859.41,16.00,-0.00,0.00,1,0.86,roofs,4,0,463196.86000000004 15224859.101327308 463196.86000000004 15224859.632000001 463194.86000000004 15224859.632000001 463194.86000000004 15224859.302518204,1108354.62,0.00,15.33,1.82,-0.00,0.46,5,6,10,roofs_top,srf30
srf31,B1004,top,0,1,463195.86,15224860.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224859.632000001 463196.86000000004 15224859.632000001 463196.86000000004 15224861.632000001 463194.86000000004 15224861.632000001,1108354.62,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf31
srf32,B1004,top,0,1,463195.86,15224862.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224861.632000001 463196.86000000004 15224861.632000001 463196.86000000004 15224863.632000001 463194.86000000004 15224863.632000001,1108354.62,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf32
srf33,B1004,top,0,1,463195.86,15224864.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224863.632000001 463196.86000000004 15224863.632000001 463196.86000000004 15224865.632000001 463194.86000000004 15224865.632000001,1108354.62,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf33
srf34,B1004,top,0,1,463195.86,15224866.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224865.632000001 463196.86000000004 15224865.632000001 463196.86000000004 15224867.632000001 463194.86000000004 15224867.632000001,1108835.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf34
srf35,B1004,top,0,1,463195.86,15224868.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224867.632000001 463196.86000000004 15224867.632000001 463196.86000000004 15224869.632000001 463194.86000000004 15224869.632000001,1108835.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf35
srf36,B1004,top,0,1,463195.86,15224870.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224869.632000001 463196.86000000004 15224869.632000001 463196.86000000004 15224871.632000001 463194.86000000004 15224871.632000001,1108835.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf36
srf37,B1004,top,0,1,463195.86,15224872.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224871.632000001 463196.86000000004 15224871.632000001 463196.86000000004 15224873.632000001 463194.86000000004 15224873.632000001,1108835.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf37
srf38,B1004,top,0,1,463195.86,15224874.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224873.632000001 463196.86000000004 15224873.632000001 463196.86000000004 15224875.632000001 463194.86000000004 15224875.632000001,1108835.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf38
srf39,B1004,top,0,1,463195.86,15224876.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224875.632000001 463196.86000000004 15224875.632000001 463196.86000000004 15224877.632000001 463194.86000000004 15224877.632000001,1108983.38,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf39
srf40,B1004,top,0,1,463195.86,15224878.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224877.632000001 463196.86000000004 15224877.632000001 463196.86000000004 15224879.632000001 463194.86000000004 15224879.632000001,1108983.00,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf40
srf41,B1004,top,0,1,463195.86,15224880.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224879.632000001 463196.86000000004 15224879.632000001 463196.86000000004 15224881.632000001 463194.86000000004 15224881.632000001,1108983.00,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf41
srf42,B1004,top,0,1,463195.86,15224882.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224881.632000001 463196.86000000004 15224881.632000001 463196.86000000004 15224883.632000001 463194.86000000004 15224883.632000001,1109809.38,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf42
srf43,B1004,top,0,1,463195.86,15224884.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224883.632000001 463196.86000000004 15224883.632000001 463196.86000000004 15224885.632000001 463194.86000000004 15224885.632000001,1109809.38,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf43
srf44,B1004,top,0,1,463195.86,15224886.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224885.632000001 463196.86000000004 15224885.632000001 463196.86000000004 15224887.632000001 463194.86000000004 15224887.632000001,1109809.38,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf44
srf45,B1004,top,0,1,463195.86,15224888.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224887.632000001 463196.86000000004 15224887.632000001 463196.86000000004 15224889.632000001 463194.86000000004 15224889.632000001,1109809.38,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf45
srf46,B1004,top,0,1,463195.86,15224890.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224889.632000001 463196.86000000004 15224889.632000001 463196.86000000004 15224891.632000001 463194.86000000004 15224891.632000001,1111073.25,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf46
srf47,B1004,top,0,1,463195.86,15224892.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463194.86000000004 15224891.632000001 463196.86000000004 15224891.632000001 463196.86000000004 15224893.632000001 463194.86000000004 15224893.632000001,1111073.25,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf47
srf48,B1004,top,0,1,463195.82,15224894.10,16.00,-0.00,0.00,1,1.87,roofs,4,0,463194.86000000004 15224893.632000001 463196.86000000004 15224893.632000001 463196.86000000004 15224894.465931088 463194.86000000004 15224894.667122962,1111073.25,0.00,15.33,1.82,-0.00,1.00,5,6,10,roofs_top,srf48
srf49,B1004,top,0,1,463197.91,15224859.31,16.00,-0.00,0.00,1,1.26,roofs,4,0,463198.86000000004 15224858.90013641 463198.86000000004 15224859.632000001 463196.86000000004 15224859.632000001 463196.86000000004 15224859.101327308,1109111.12,0.00,15.33,1.82,-0.00,0.67,5,6,10,roofs_top,srf49
srf50,B1004,top,0,1,463197.86,15224860.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463196.86000000004 15224859.632000001 463198.86000000004 15224859.632000001 463198.86000000004 15224861.632000001 463196.86000000004 15224861.632000001,1109111.12,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf50
srf51,B1004,top,0,1,463197.86,15224862.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463196.86000000004 15224861.632000001 463198.86000000004 15224861.632000001 463198.86000000004 15224863.632000001 463196.86000000004 15224863.632000001,1110777.88,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf51
srf52,B1004,top,0,1,463197.86,15224864.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463196.86000000004 15224863.632000001 463198.86000000004 15224863.632000001 463198.86000000004 15224865.632000001 463196.86000000004 15224865.632000001,1110777.88,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf52
srf53,B1004,top,0,1,463197.86,15224866.63,16.00,-0.00,0.00,1,4.00,roofs,4,0,463196.86000000004 15224865.632000001 463198.86000000004 15224865.632000001 463198.86000000004 15224867.632000001 463196.86000000004 15224867.632000001,1113339.38,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf53
