date,PV_walls_south_E_kWh,PV_walls_south_m2,PV_walls_north_E_kWh,PV_walls_north_m2,PV_roofs_top_E_kWh,PV_roofs_top_m2,PV_walls_east_E_kWh,PV_walls_east_m2,PV_walls_west_E_kWh,PV_walls_west_m2,E_PV_gen_kWh,radiation_kWh,area_PV_m2
2009-01-01 00:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 01:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 02:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 03:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 04:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 05:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 06:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 07:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 08:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 09:00:00+01:00,0,0,0,0,5.84,532.35,0,0,0,0,5.84,38.32,532.35
2009-01-01 10:00:00+01:00,0,0,0,0,10.38,532.35,0,0,0,0,10.38,69.92,532.35
2009-01-01 11:00:00+01:00,0,0,0,0,14.47,532.35,0,0,0,0,14.47,95.06,532.35
2009-01-01 12:00:00+01:00,0,0,0,0,14.43,532.35,0,0,0,0,14.43,97.42,532.35
2009-01-01 13:00:00+01:00,0,0,0,0,11.77,532.35,0,0,0,0,11.77,81.72,532.35
2009-01-01 14:00:00+01:00,0,0,0,0,8.34,532.35,0,0,0,0,8.34,59.18,532.35
2009-01-01 15:00:00+01:00,0,0,0,0,3.62,532.35,0,0,0,0,3.62,22.62,532.35
2009-01-01 16:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 17:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 18:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 19:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 20:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 21:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 22:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-01 23:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 00:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 01:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 02:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 03:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 04:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 05:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 06:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 07:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 08:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 09:00:00+01:00,0,0,0,0,7.78,532.35,0,0,0,0,7.78,44.73,532.35
2009-01-02 10:00:00+01:00,0,0,0,0,11.11,532.35,0,0,0,0,11.11,71.61,532.35
2009-01-02 11:00:00+01:00,0,0,0,0,13.21,532.35,0,0,0,0,13.21,88.02,532.35
2009-01-02 12:00:00+01:00,0,0,0,0,12.33,532.35,0,0,0,0,12.33,85.45,532.35
2009-01-02 13:00:00+01:00,0,0,0,0,12.88,532.35,0,0,0,0,12.88,86.58,532.35
2009-01-02 14:00:00+01:00,0,0,0,0,10.23,532.35,0,0,0,0,10.23,68.64,532.35
2009-01-02 15:00:00+01:00,0,0,0,0,4.14,532.35,0,0,0,0,4.14,26.64,532.35
2009-01-02 16:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 17:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 18:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 19:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 20:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 21:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 22:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-02 23:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 00:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 01:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 02:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 03:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 04:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 05:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 06:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 07:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 08:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 09:00:00+01:00,0,0,0,0,8.35,532.35,0,0,0,0,8.35,46.25,532.35
2009-01-03 10:00:00+01:00,0,0,0,0,13.96,532.35,0,0,0,0,13.96,83.11,532.35
2009-01-03 11:00:00+01:00,0,0,0,0,19.88,532.35,0,0,0,0,19.88,112.67,532.35
2009-01-03 12:00:00+01:00,0,0,0,0,18.86,532.35,0,0,0,0,18.86,119.35,532.35
2009-01-03 13:00:00+01:00,0,0,0,0,17.81,532.35,0,0,0,0,17.81,110.06,532.35
2009-01-03 14:00:00+01:00,0,0,0,0,11.13,532.35,0,0,0,0,11.13,72.11,532.35
2009-01-03 15:00:00+01:00,0,0,0,0,5.08,532.35,0,0,0,0,5.08,33.40,532.35
2009-01-03 16:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 17:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 18:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 19:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 20:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 21:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 22:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-03 23:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 00:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 01:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 02:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 03:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 04:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 05:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 06:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 07:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 08:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 09:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 10:00:00+01:00,0,0,0,0,3.91,532.35,0,0,0,0,3.91,28.39,532.35
2009-01-04 11:00:00+01:00,0,0,0,0,5.07,532.35,0,0,0,0,5.07,36.81,532.35
2009-01-04 12:00:00+01:00,0,0,0,0,4.92,532.35,0,0,0,0,4.92,35.75,532.35
2009-01-04 13:00:00+01:00,0,0,0,0,5.06,532.35,0,0,0,0,5.06,36.81,532.35
2009-01-04 14:00:00+01:00,0,0,0,0,3.84,532.35,0,0,0,0,3.84,27.87,532.35
2009-01-04 15:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 16:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 17:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 18:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 19:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 20:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
2009-01-04 21:00:00+01:00,0,0,0,0,0.00,532.35,0,0,0,0,0.00,0.00,532.35
