date,PV_walls_south_E_kWh,PV_walls_south_m2,PV_walls_north_E_kWh,PV_walls_north_m2,PV_roofs_top_E_kWh,PV_roofs_top_m2,PV_walls_east_E_kWh,PV_walls_east_m2,PV_walls_west_E_kWh,PV_walls_west_m2,E_PV_gen_kWh,radiation_kWh,area_PV_m2
2009-01-01 00:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 01:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 02:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 03:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 04:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 05:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 06:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 07:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 08:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 09:00:00+01:00,0,0,0,0,13.81,1465.53,0,0,0,0,13.81,90.52,1465.53
2009-01-01 10:00:00+01:00,0,0,0,0,26.49,1465.53,0,0,0,0,26.49,178.29,1465.53
2009-01-01 11:00:00+01:00,0,0,0,0,36.17,1465.53,0,0,0,0,36.17,237.19,1465.53
2009-01-01 12:00:00+01:00,0,0,0,0,36.15,1465.53,0,0,0,0,36.15,243.56,1465.53
2009-01-01 13:00:00+01:00,0,0,0,0,27.59,1465.53,0,0,0,0,27.59,191.11,1465.53
2009-01-01 14:00:00+01:00,0,0,0,0,19.08,1465.53,0,0,0,0,19.08,135.06,1465.53
2009-01-01 15:00:00+01:00,0,0,0,0,1.43,1465.53,0,0,0,0,1.43,8.89,1465.53
2009-01-01 16:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 17:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 18:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 19:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 20:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 21:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 22:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-01 23:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-02 00:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-02 01:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-02 02:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-02 03:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-02 04:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-02 05:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-02 06:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
2009-01-02 07:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,0.00,0.00,1465.53
