date,PV_walls_south_E_kWh,PV_walls_south_m2,PV_walls_north_E_kWh,PV_walls_north_m2,PV_roofs_top_E_kWh,PV_roofs_top_m2,PV_walls_east_E_kWh,PV_walls_east_m2,PV_walls_west_E_kWh,PV_walls_west_m2,E_PV_gen_kWh,radiation_kWh,area_PV_m2
2009-01-05 11:00:00+01:00,0,0,0,0,2.68,388.50,0,0,0,0,2.68,43.76,388.50
2009-01-05 12:00:00+01:00,0,0,0,0,2.62,388.50,0,0,0,0,2.62,41.71,388.50
2009-01-05 13:00:00+01:00,0,0,0,0,2.31,388.50,0,0,0,0,2.31,36.73,388.50
2009-01-05 14:00:00+01:00,0,0,0,0,2.24,388.50,0,0,0,0,2.24,36.66,388.50
2009-01-05 15:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-05 16:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-05 17:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-05 18:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-05 19:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-05 20:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-05 21:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-05 22:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-05 23:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 00:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 01:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 02:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 03:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 04:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 05:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 06:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 07:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 08:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 09:00:00+01:00,0,0,0,0,1.22,388.50,0,0,0,0,1.22,27.26,388.50
2009-01-06 10:00:00+01:00,0,0,0,0,3.52,388.50,0,0,0,0,3.52,54.70,388.50
2009-01-06 11:00:00+01:00,0,0,0,0,4.86,388.50,0,0,0,0,4.86,70.11,388.50
2009-01-06 12:00:00+01:00,0,0,0,0,6.22,388.50,0,0,0,0,6.22,85.14,388.50
2009-01-06 13:00:00+01:00,0,0,0,0,5.04,388.50,0,0,0,0,5.04,71.89,388.50
2009-01-06 14:00:00+01:00,0,0,0,0,3.23,388.50,0,0,0,0,3.23,48.46,388.50
2009-01-06 15:00:00+01:00,0,0,0,0,1.49,388.50,0,0,0,0,1.49,24.79,388.50
2009-01-06 16:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 17:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 18:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 19:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 20:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 21:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 22:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-06 23:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 00:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 01:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 02:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 03:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 04:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 05:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 06:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 07:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 08:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 09:00:00+01:00,0,0,0,0,1.69,388.50,0,0,0,0,1.69,33.03,388.50
2009-01-07 10:00:00+01:00,0,0,0,0,4.02,388.50,0,0,0,0,4.02,58.85,388.50
2009-01-07 11:00:00+01:00,0,0,0,0,9.50,388.50,0,0,0,0,9.50,110.33,388.50
2009-01-07 12:00:00+01:00,0,0,0,0,6.87,388.50,0,0,0,0,6.87,88.36,388.50
2009-01-07 13:00:00+01:00,0,0,0,0,1.91,388.50,0,0,0,0,1.91,30.98,388.50
2009-01-07 14:00:00+01:00,0,0,0,0,2.76,388.50,0,0,0,0,2.76,43.35,388.50
2009-01-07 15:00:00+01:00,0,0,0,0,1.78,388.50,0,0,0,0,1.78,27.87,388.50
2009-01-07 16:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 17:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 18:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 19:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 20:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 21:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 22:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-07 23:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 00:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 01:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 02:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 03:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 04:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 05:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 06:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 07:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 08:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 09:00:00+01:00,0,0,0,0,1.15,388.50,0,0,0,0,1.15,24.21,388.50
2009-01-08 10:00:00+01:00,0,0,0,0,2.56,388.50,0,0,0,0,2.56,44.34,388.50
2009-01-08 11:00:00+01:00,0,0,0,0,3.97,388.50,0,0,0,0,3.97,61.16,388.50
2009-01-08 12:00:00+01:00,0,0,0,0,4.26,388.50,0,0,0,0,4.26,64.70,388.50
2009-01-08 13:00:00+01:00,0,0,0,0,3.74,388.50,0,0,0,0,3.74,58.59,388.50
2009-01-08 14:00:00+01:00,0,0,0,0,2.74,388.50,0,0,0,0,2.74,43.47,388.50
2009-01-08 15:00:00+01:00,0,0,0,0,1.24,388.50,0,0,0,0,1.24,22.03,388.50
2009-01-08 16:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 17:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 18:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 19:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 20:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 21:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 22:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-08 23:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 00:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 01:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 02:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 03:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 04:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 05:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 06:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 07:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 08:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 09:00:00+01:00,0,0,0,0,2.48,388.50,0,0,0,0,2.48,43.71,388.50
2009-01-09 10:00:00+01:00,0,0,0,0,6.67,388.50,0,0,0,0,6.67,80.15,388.50
2009-01-09 11:00:00+01:00,0,0,0,0,8.99,388.50,0,0,0,0,8.99,102.48,388.50
2009-01-09 12:00:00+01:00,0,0,0,0,9.69,388.50,0,0,0,0,9.69,108.26,388.50
2009-01-09 13:00:00+01:00,0,0,0,0,9.76,388.50,0,0,0,0,9.76,106.92,388.50
2009-01-09 14:00:00+01:00,0,0,0,0,6.90,388.50,0,0,0,0,6.90,78.38,388.50
2009-01-09 15:00:00+01:00,0,0,0,0,2.27,388.50,0,0,0,0,2.27,34.67,388.50
2009-01-09 16:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 17:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 18:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 19:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 20:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 21:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 22:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-09 23:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 00:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 01:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 02:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 03:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 04:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 05:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 06:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 07:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 08:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 09:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 10:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 11:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 12:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 13:00:00+01:00,0,0,0,0,7.95,388.50,0,0,0,0,7.95,97.05,388.50
2009-01-10 14:00:00+01:00,0,0,0,0,6.45,388.50,0,0,0,0,6.45,75.81,388.50
2009-01-10 15:00:00+01:00,0,0,0,0,2.79,388.50,0,0,0,0,2.79,37.54,388.50
2009-01-10 16:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 17:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 18:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 19:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 20:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 21:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 22:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-10 23:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-11 00:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-11 01:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-11 02:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-11 03:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-11 04:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-11 05:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-11 06:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-11 07:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-11 08:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-11 09:00:00+01:00,0,0,0,0,1.94,388.50,0,0,0,0,1.94,37.42,388.50
2009-01-11 10:00:00+01:00,0,0,0,0,5.86,388.50,0,0,0,0,5.86,73.19,388.50
2009-01-11 11:00:00+01:00,0,0,0,0,7.38,388.50,0,0,0,0,7.38,89.49,388.50
2009-01-11 12:00:00+01:00,0,0,0,0,7.86,388.50,0,0,0,0,7.86,96.62,388.50
2009-01-11 13:00:00+01:00,0,0,0,0,6.33,388.50,0,0,0,0,6.33,85.28,388.50
2009-01-11 14:00:00+01:00,0,0,0,0,4.16,388.50,0,0,0,0,4.16,58.69,388.50
2009-01-11 15:00:00+01:00,0,0,0,0,2.18,388.50,0,0,0,0,2.18,31.87,388.50
2009-01-11 16:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
2009-01-11 17:00:00+01:00,0,0,0,0,0.00,388.50,0,0,0,0,0.00,0.00,388.50
